"","Crop.Group","Variety","Field.Defined.Name","Fertiliser.Nutrient.Name","Actual.Issued.Date","Product.Name","Rate.per.Application.Area.ha","Units","Fertiliser.Nutrient.Rate.per.Working.Area"
"47","Barley Spring","Quench","Poppy field.A.6107","N","17/04/2013","Sulphur +",140,"kg",40.6
"48","Barley Spring","Quench","Poppy field.A.6107","N","20/04/2013","34.5%n",230,"kg",79.35
"50","Barley Spring","Quench","Poppy field.A.6107","SO3","17/04/2013","Sulphur +",140,"kg",28
