"","Crop.Group","Variety","Field.Defined.Name","Application.Area.ha","Product.Name","Status","Actual.Issued.Date","Quantity","Units","Rate.per.Application.Area.ha"
"377","Barley Winter","Barley Winter","Quarry 3.8304",5,"34.5%n","Completed","25/02/2012","1015","kg","203"
"378","Barley Winter","Barley Winter","Quarry 3.8304",5,"34.5%n","Completed","05/04/2012","950","kg","190"
"379","Barley Winter","Barley Winter","Quarry 3.8304",5,"34.5%n","Completed","30/04/2012","575","kg","115"
"380","Barley Winter","Barley Winter","Quarry 3.8304",5,"3C Chlormequat 720","Completed","06/03/2012","11.25","L","2.25"
"381","Barley Winter","Barley Winter","Quarry 3.8304",5,"Ally Max SX","Completed","19/04/2012","125","g","25"
"382","Barley Winter","Barley Winter","Quarry 3.8304",5,"Azural","Completed","13/07/2012","15","L","3"
"383","Barley Winter","Barley Winter","Quarry 3.8304",5,"Barley-Feed","Completed","31/07/2012","40.823","t","8.16"
"384","Barley Winter","Barley Winter","Quarry 3.8304",5,"Cassia WB","Completed","26/09/2011","885","kg","177"
"385","Barley Winter","Barley Winter","Quarry 3.8304",5,"Clayton Spigot","Completed","06/03/2012","1.5","L","0.3"
"386","Barley Winter","Barley Winter","Quarry 3.8304",5,"Combi Drill","Completed","26/09/2011","5","ha","1"
"387","Barley Winter","Barley Winter","Quarry 3.8304",5,"Combine","Completed","27/07/2012","5","ha","1"
"388","Barley Winter","Barley Winter","Quarry 3.8304",5,"Fert Spread","Completed","25/02/2012","5","ha","1"
"389","Barley Winter","Barley Winter","Quarry 3.8304",5,"Fert Spread","Completed","05/04/2012","5","ha","1"
"390","Barley Winter","Barley Winter","Quarry 3.8304",5,"Fert Spread","Completed","30/04/2012","5","ha","1"
"391","Barley Winter","Barley Winter","Quarry 3.8304",5,"Gala","Completed","19/04/2012","2.5","L","0.5"
"392","Barley Winter","Barley Winter","Quarry 3.8304",10,"Hallmark With Zeon Technology","Completed","27/10/2011","0.5","L","0.05"
"393","Barley Winter","Barley Winter","Quarry 3.8304",5,"Hallmark With Zeon Technology","Completed","22/05/2012","0.25","L","0.05"
"394","Barley Winter","Barley Winter","Quarry 3.8304",5,"Headland Manganese 15%","Completed","06/03/2012","27.883","L","5.58"
"395","Barley Winter","Barley Winter","Quarry 3.8304",5,"LI-700","Completed","06/03/2012","2.5","L","0.5"
"396","Barley Winter","Barley Winter","Quarry 3.8304",5,"Liberator","Completed","15/10/2011","3","L","0.6"
"397","Barley Winter","Barley Winter","Quarry 3.8304",5,"Pig Fym","Completed","08/08/2012","100","t","20"
"398","Barley Winter","Barley Winter","Quarry 3.8304",5,"Ploughing","Completed","21/09/2011","5","ha","1"
"399","Barley Winter","Barley Winter","Quarry 3.8304",5,"Roll","Completed","27/09/2011","5","ha","1"
