"","Crop.Group","Variety","Field.Defined.Name","Fertiliser.Nutrient.Name","Actual.Issued.Date","Product.Name","Rate.per.Application.Area.ha","Units","Fertiliser.Nutrient.Rate.per.Working.Area"
"1989","Wheat Winter","KWS Santiago","Poppy field.B.6107","N","22/02/2013","Sulphur +",140,"kg",40.6
"1990","Wheat Winter","KWS Santiago","Poppy field.B.6107","N","04/04/2013","34.5%n",290,"kg",100.05
"1991","Wheat Winter","KWS Santiago","Poppy field.B.6107","N","18/05/2013","34.5%n",145,"kg",50.02
"1993","Wheat Winter","KWS Santiago","Poppy field.B.6107","SO3","22/02/2013","Sulphur +",140,"kg",28
